madde_id,dogru_kod,ability_gap,n
ME62001,2,55.1,680
ME62067,3,98.4,679
ME62076,1,115.6,698
ME62095,1,108.6,679
ME62120,3,103.5,686
ME62146,1,64.7,687
ME62171,4,95.2,702
ME62194,3,90.1,699
ME62230,2,53.1,694
ME62242,1,117.2,673
ME62271,4,130.4,699
ME62320,4,142.2,694
ME62341,4,27.6,656
ME72005,3,121.4,708
ME72013,3,45.1,685
ME72022,3,15.7,681
ME72027,1,119.6,695
ME72038,4,117.4,688
ME72043,3,110.5,672
ME72067,2,89.2,672
ME72080,1,110.0,678
ME72090,1,99.9,687
ME72125,1,132.2,699
ME72150,3,91.6,692
ME72154,3,107.4,708
ME72172,4,68.6,688
ME72188,3,100.7,693
ME72189,2,109.1,697
ME72192,1,41.6,701
ME72220,4,83.2,683
ME72221,2,101.1,666
ME72222,2,42.3,684
ME72223,2,103.6,706
ME72233,2,102.2,690
ME72234,4,74.2,676
ME72237,4,62.5,697
ME82402,2,105.1,694
ME82503,2,142.1,677
ME82510,3,87.8,690
ME82512,2,121.9,694
ME82617,3,92.1,708
ME82727,4,94.2,653
ME82808,1,78.6,702
