Madde,Ort,SS,Carpiklik,Basiklik,Faktor_yuku,h2,MSA,Madde_toplam_r,Alfa_madde_atilirsa
M1,4.1,1.26,-1.19,0.17,0.735,0.54,0.879,0.603,0.944
M2,4.58,0.9,-2.41,5.41,0.693,0.481,0.755,0.49,0.944
M5,4.67,0.71,-2.58,7.53,0.57,0.325,0.664,0.382,0.946
M6,4.6,0.89,-2.51,6.05,0.656,0.43,0.721,0.454,0.945
M7,4.38,1.09,-1.79,2.32,0.689,0.475,0.933,0.533,0.944
M8,4.5,0.97,-2.0,3.24,0.718,0.516,0.847,0.515,0.944
M9,3.98,1.37,-1.03,-0.35,0.663,0.44,0.797,0.534,0.945
M10,4.22,1.24,-1.48,0.95,0.71,0.503,0.786,0.568,0.944
M13,4.01,1.31,-1.07,-0.14,0.592,0.35,0.805,0.48,0.946
M15,4.58,1.0,-2.46,5.11,0.523,0.274,0.79,0.31,0.947
M16,4.48,1.1,-2.17,3.64,0.535,0.287,0.712,0.346,0.946
M19,4.0,1.41,-1.07,-0.35,0.64,0.409,0.821,0.507,0.945
M21,4.31,1.06,-1.48,1.39,0.756,0.572,0.848,0.594,0.943
M22,3.95,1.42,-1.0,-0.46,0.73,0.533,0.919,0.587,0.944
M23,4.42,1.11,-1.9,2.47,0.639,0.409,0.933,0.45,0.945
M24,3.04,1.77,-0.01,-1.78,0.696,0.485,0.704,0.583,0.944
M25,4.72,0.75,-3.33,11.78,0.584,0.342,0.708,0.364,0.946
M26,3.89,1.4,-0.88,-0.65,0.694,0.482,0.825,0.568,0.944
M27,3.89,1.27,-0.8,-0.51,0.821,0.674,0.849,0.7,0.943
M28,4.59,0.88,-2.32,5.0,0.651,0.423,0.939,0.455,0.945
M30,4.63,0.78,-2.46,6.23,0.718,0.516,0.879,0.51,0.944
M31,4.73,0.73,-3.25,10.86,0.72,0.519,0.801,0.499,0.944
