Faktor,Madde,Yuk,F1,F2,F3,h2,MSA,Ort,SS,MTK
F1,M7,0.65,0.65,0.01,-0.02,0.417,0.704,3.8,1.37,0.386
F1,M8,0.584,0.58,0.17,0.01,0.433,0.745,3.95,1.31,0.454
F1,M1,0.568,0.57,0.09,-0.07,0.337,0.706,3.63,1.34,0.343
F1,M2,0.536,0.54,-0.13,0.19,0.347,0.706,4.36,1.06,0.3
F1,M21,0.489,0.49,0.0,0.29,0.415,0.813,4.43,0.9,0.43
F2,M3,0.729,0.19,0.73,0.03,0.669,0.766,4.56,1.02,0.457
F2,M10,0.697,-0.03,0.7,0.05,0.495,0.727,4.72,0.86,0.247
F2,M4,0.622,0.33,0.62,-0.13,0.566,0.779,4.6,1.03,0.385
F2,M11,0.45,-0.07,0.45,0.17,0.255,0.765,4.35,1.19,0.201
F3,M19,0.669,0.09,0.06,0.67,0.525,0.761,4.37,1.03,0.382
F3,M20,0.666,-0.13,0.27,0.67,0.57,0.735,4.12,1.13,0.388
F3,M9,0.453,0.06,-0.1,0.45,0.206,0.716,4.72,0.67,0.162
F3,M18,0.439,0.06,0.13,0.44,0.266,0.799,3.3,1.21,0.298
