madde,a_std,b_std,a_em,b_em,a_tree,b_tree
ME62001,0.5444,0.3883,0.5483,0.4053,0.5451,0.4149
ME62067,1.7903,-0.5137,1.5879,-0.5931,1.5821,-0.5833
ME62076,1.66,-0.6356,1.6306,-0.6437,1.6372,-0.6351
ME62095,1.2429,-0.0015,1.3464,-0.0378,1.3595,-0.027
ME62120,1.7418,-0.5038,1.7887,-0.4929,1.8365,-0.4771
ME62146,0.9416,1.0489,0.9833,1.0328,0.9837,1.0367
ME62171,1.1582,-0.6964,1.1236,-0.7109,1.1547,-0.6941
ME62194,1.1647,-1.0808,1.0841,-1.1864,1.1015,-1.1668
ME62230,0.5744,0.6128,0.6248,0.5622,0.6234,0.5684
ME62242,1.6377,-0.2789,1.6384,-0.2925,1.6342,-0.282
ME62271,2.346,-0.3378,2.4906,-0.329,2.4924,-0.3255
ME62320,3.2052,-0.0497,3.5042,-0.0646,3.4206,-0.0555
ME62341,0.3249,1.7966,0.274,2.0727,0.2657,2.1393
ME72005,1.6249,-0.6192,1.5325,-0.6407,1.543,-0.6351
ME72013,1.6346,0.6716,1.5436,0.6768,1.5472,0.6906
ME72022,0.594,1.1691,0.6067,1.2138,0.6086,1.2262
ME72027,1.6719,-0.5162,1.6081,-0.5382,1.6215,-0.5294
ME72038,2.0692,0.6165,2.2072,0.628,2.2377,0.6364
ME72043,1.4843,0.3985,1.6862,0.3514,1.6478,0.3713
ME72067,1.5226,-0.0772,1.4987,-0.0689,1.4914,-0.0644
ME72080,1.6996,0.484,1.8118,0.4453,1.8116,0.4663
ME72090,1.2242,-0.0979,1.2322,-0.0895,1.2382,-0.0621
ME72125,2.7414,0.0989,2.9827,0.0835,2.8872,0.1004
ME72150,1.4879,-0.3671,1.409,-0.4173,1.4326,-0.3976
ME72154,1.5455,-0.6626,1.4356,-0.7728,1.4572,-0.7466
ME72172,1.3027,-0.3775,1.3165,-0.4097,1.3181,-0.3859
ME72188,1.3435,1.0129,1.3923,1.0032,1.3909,1.0205
ME72189,1.7449,-0.1269,1.7497,-0.1152,1.7856,-0.1028
ME72192,0.6228,0.6778,0.5926,0.6835,0.5934,0.6957
ME72220,1.4869,0.5527,1.6394,0.5163,1.6587,0.5322
ME72221,1.5053,0.0674,1.5392,0.0459,1.5336,0.0658
ME72222,1.006,0.0856,1.0101,0.0891,1.0235,0.1101
ME72223,1.5906,-0.1788,1.5573,-0.1933,1.5785,-0.1793
ME72233,1.5716,-0.2997,1.6166,-0.2808,1.6025,-0.2479
ME72234,0.9606,0.005,0.9515,-0.0003,0.9619,0.0049
ME72237,0.7,-0.7208,0.7105,-0.76,0.7247,-0.7315
ME82402,1.9683,-0.4787,2.0571,-0.4711,2.0716,-0.4611
ME82503,1.9985,-0.4861,2.0462,-0.5246,2.1343,-0.5032
ME82510,1.6671,0.0786,1.6677,0.0583,1.7515,0.0708
ME82512,1.3757,-1.4263,1.3561,-1.4653,1.335,-1.4715
ME82617,0.9354,-1.7003,0.8837,-1.8329,0.8896,-1.8164
ME82727,1.0832,-2.3168,1.0247,-2.4493,1.0435,-2.4135
ME82808,1.0085,0.002,1.0257,-0.0037,1.0609,0.0239
